id,plot,block,location,locationAbb,locationYear,latitude,longitude,riverkm,distanceRiver,MEM1_2017,MEM2_2018,MEM1_2019,MEM1_2021,MEM2_2021,surveyYear,constructionYear,plotAge,exposition,side,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,accumulatedCov,speciesRichness,botanist,conf.low,conf.high
X05_m_2019,5,3,Oebling,OEB,OEB-2012,5418126,4545832,2316,229.1,NA,NA,-0.913190164,NA,NA,2019,2012,7,south,water,-0.5576,0.9911,-0.443,1.1355,-0.0252,0.6262,97,14,Jakob_Huber_Linda_Weggler,19,19
X05_m_2021,5,3,Oebling,OEB,OEB-2012,5418126,4545832,2316,229.1,NA,NA,NA,-0.913190164,0.106881677,2021,2012,9,south,water,-0.5576,0.9911,-0.443,1.1355,-0.0252,0.6262,31.1,9,Markus Bauer,20,20
X06_m_2017,6,3,Oebling,OEB,OEB-2012,5418139,4545833,2316,222.9,-0.913174971,NA,NA,NA,NA,2017,2012,5,north,land,-0.3712,0.9787,-0.94,1.1355,-0.0252,0.6262,67.6,20,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21
X06_m_2018,6,3,Oebling,OEB,OEB-2012,5418139,4545833,2316,222.9,NA,0.106844502,NA,NA,NA,2018,2012,6,north,land,-0.3712,0.9787,-0.94,1.1355,-0.0252,0.6262,102.1,28,Jakob_Huber,22,22
X06_m_2019,6,3,Oebling,OEB,OEB-2012,5418139,4545833,2316,222.9,NA,NA,-0.913174971,NA,NA,2019,2012,7,north,land,-0.3712,0.9787,-0.94,1.1355,-0.0252,0.6262,115.6,27,Jakob_Huber_Linda_Weggler,23,23
X06_m_2021,6,3,Oebling,OEB,OEB-2012,5418139,4545833,2316,222.9,NA,NA,NA,-0.913174971,0.106844502,2021,2012,9,north,land,-0.3712,0.9787,-0.94,1.1355,-0.0252,0.6262,74.7,36,Markus Bauer,24,24
X09_m_2017,9,5,Oebling,OEB,OEB-2010,5417317,4546913,2314,1537.9,-0.917537434,NA,NA,NA,NA,2017,2010,7,south,water,-0.6301,-0.5532,0.7111,-0.7785,-0.4666,-0.7891,44.5,12,Jakob_Huber_Leonardo_Teixeira,33,33
X09_m_2018,9,5,Oebling,OEB,OEB-2010,5417317,4546913,2314,1537.9,NA,0.118569174,NA,NA,NA,2018,2010,8,south,water,-0.6301,-0.5532,0.7111,-0.7785,-0.4666,-0.7891,38.5,3,Jakob_Huber,34,34
X09_m_2019,9,5,Oebling,OEB,OEB-2010,5417317,4546913,2314,1537.9,NA,NA,-0.917537434,NA,NA,2019,2010,9,south,water,-0.6301,-0.5532,0.7111,-0.7785,-0.4666,-0.7891,66.5,9,Jakob_Huber_Linda_Weggler,35,35
X09_m_2021,9,5,Oebling,OEB,OEB-2010,5417317,4546913,2314,1537.9,NA,NA,NA,-0.917537434,0.118569174,2021,2010,11,south,water,-0.6301,-0.5532,0.7111,-0.7785,-0.4666,-0.7891,67,7,Markus Bauer,36,36
X10_m_2017,10,5,Oebling,OEB,OEB-2010,5417329,4546909,2314,1526.4,-0.917518963,NA,NA,NA,NA,2017,2010,7,north,land,-0.5756,-0.7487,0.7457,-0.7785,-0.4666,-0.7891,69.8,30,Jakob_Huber_Leonardo_Teixeira,37,37
X10_m_2018,10,5,Oebling,OEB,OEB-2010,5417329,4546909,2314,1526.4,NA,0.118500107,NA,NA,NA,2018,2010,8,north,land,-0.5756,-0.7487,0.7457,-0.7785,-0.4666,-0.7891,64.5,24,Jakob_Huber,38,38
X10_m_2019,10,5,Oebling,OEB,OEB-2010,5417329,4546909,2314,1526.4,NA,NA,-0.917518963,NA,NA,2019,2010,9,north,land,-0.5756,-0.7487,0.7457,-0.7785,-0.4666,-0.7891,57.5,21,Jakob_Huber_Linda_Weggler,39,39
X10_m_2021,10,5,Oebling,OEB,OEB-2010,5417329,4546909,2314,1526.4,NA,NA,NA,-0.917518963,0.118500107,2021,2010,11,north,land,-0.5756,-0.7487,0.7457,-0.7785,-0.4666,-0.7891,75,23,Markus Bauer,40,40
X11_m_2017,11,6,Oebling,OEB,OEB-2010,5417431,4546311,2315,1010.1,-0.915653831,NA,NA,NA,NA,2017,2010,7,north,water,0.755,-0.2805,0.5257,-0.7785,-0.4666,-0.7891,116.5,38,Jakob_Huber_Leonardo_Teixeira,41,41
X11_m_2018,11,6,Oebling,OEB,OEB-2010,5417431,4546311,2315,1010.1,NA,0.113272003,NA,NA,NA,2018,2010,8,north,water,0.755,-0.2805,0.5257,-0.7785,-0.4666,-0.7891,83.2,27,Jakob_Huber,42,42
X11_m_2019,11,6,Oebling,OEB,OEB-2010,5417431,4546311,2315,1010.1,NA,NA,-0.915653831,NA,NA,2019,2010,9,north,water,0.755,-0.2805,0.5257,-0.7785,-0.4666,-0.7891,94,35,Jakob_Huber_Linda_Weggler,43,43
X11_m_2021,11,6,Oebling,OEB,OEB-2010,5417431,4546311,2315,1010.1,NA,NA,NA,-0.915653831,0.113272003,2021,2010,11,north,water,0.755,-0.2805,0.5257,-0.7785,-0.4666,-0.7891,71,32,Markus Bauer,44,44
X12_m_2017,12,6,Oebling,OEB,OEB-2010,5417420,4546311,2315,1016.7,-0.915662021,NA,NA,NA,NA,2017,2010,7,south,land,0.2399,-1.0336,0.6747,-0.7785,-0.4666,-0.7891,34.6,16,Jakob_Huber_Leonardo_Teixeira,45,45
X12_m_2018,12,6,Oebling,OEB,OEB-2010,5417420,4546311,2315,1016.7,NA,0.113306443,NA,NA,NA,2018,2010,8,south,land,0.2399,-1.0336,0.6747,-0.7785,-0.4666,-0.7891,24.9,12,Jakob_Huber,46,46
X12_m_2019,12,6,Oebling,OEB,OEB-2010,5417420,4546311,2315,1016.7,NA,NA,-0.915662021,NA,NA,2019,2010,9,south,land,0.2399,-1.0336,0.6747,-0.7785,-0.4666,-0.7891,59.6,17,Jakob_Huber_Linda_Weggler,47,47
X12_m_2021,12,6,Oebling,OEB,OEB-2010,5417420,4546311,2315,1016.7,NA,NA,NA,-0.915662021,0.113306443,2021,2010,11,south,land,0.2399,-1.0336,0.6747,-0.7785,-0.4666,-0.7891,52.1,11,Markus Bauer,48,48
X13_m_2017,13,7,Oebling,OEB,OEB-2006,5418241,4547375,2314,624.3,-0.917655186,NA,NA,NA,NA,2017,2006,11,north,water,0.7402,-2.2834,-2.0008,0.2419,1.9644,-0.0745,64.9,27,Jakob_Huber_Leonardo_Teixeira,49,49
X13_m_2018,13,7,Oebling,OEB,OEB-2006,5418241,4547375,2314,624.3,NA,0.119151212,NA,NA,NA,2018,2006,12,north,water,0.7402,-2.2834,-2.0008,0.2419,1.9644,-0.0745,63.4,24,Jakob_Huber,50,50
X13_m_2019,13,7,Oebling,OEB,OEB-2006,5418241,4547375,2314,624.3,NA,NA,-0.917655186,NA,NA,2019,2006,13,north,water,0.7402,-2.2834,-2.0008,0.2419,1.9644,-0.0745,122.7,30,Jakob_Huber_Linda_Weggler,51,51
X13_m_2021,13,7,Oebling,OEB,OEB-2006,5418241,4547375,2314,624.3,NA,NA,NA,-0.917655186,0.119151212,2021,2006,15,north,water,0.7402,-2.2834,-2.0008,0.2419,1.9644,-0.0745,72.3,27,Markus Bauer,52,52
X14_m_2017,14,7,Oebling,OEB,OEB-2006,5418234,4547375,2314,631.3,-0.91766615,NA,NA,NA,NA,2017,2006,11,south,land,0.698,-1.4548,-0.14,0.2419,1.9644,-0.0745,38.5,22,Jakob_Huber_Leonardo_Teixeira,53,53
X14_m_2018,14,7,Oebling,OEB,OEB-2006,5418234,4547375,2314,631.3,NA,0.119176295,NA,NA,NA,2018,2006,12,south,land,0.698,-1.4548,-0.14,0.2419,1.9644,-0.0745,27.6,17,Jakob_Huber,54,54
X14_m_2019,14,7,Oebling,OEB,OEB-2006,5418234,4547375,2314,631.3,NA,NA,-0.91766615,NA,NA,2019,2006,13,south,land,0.698,-1.4548,-0.14,0.2419,1.9644,-0.0745,81.2,21,Jakob_Huber_Linda_Weggler,55,55
X14_m_2021,14,7,Oebling,OEB,OEB-2006,5418234,4547375,2314,631.3,NA,NA,NA,-0.91766615,0.119176295,2021,2006,15,south,land,0.698,-1.4548,-0.14,0.2419,1.9644,-0.0745,49.1,22,Markus Bauer,56,56
X21_m_2017,21,11,Pfelling,PFE,PFE-2008,5415944,4555538,2305,484,-0.84066403,NA,NA,NA,NA,2017,2008,9,south,water,-0.7112,-0.669,0.7938,-0.7514,-0.1115,0.3944,129.3,15,Jakob_Huber_Simon_Reith_Jakob_Strak,81,81
X21_m_2018,21,11,Pfelling,PFE,PFE-2008,5415944,4555538,2305,484,NA,0.450261015,NA,NA,NA,2018,2008,10,south,water,-0.7112,-0.669,0.7938,-0.7514,-0.1115,0.3944,81.2,13,Jakob_Huber,82,82
X21_m_2019,21,11,Pfelling,PFE,PFE-2008,5415944,4555538,2305,484,NA,NA,-0.84066403,NA,NA,2019,2008,11,south,water,-0.7112,-0.669,0.7938,-0.7514,-0.1115,0.3944,98,23,Jakob_Huber_Linda_Weggler,83,83
X21_m_2021,21,11,Pfelling,PFE,PFE-2008,5415944,4555538,2305,484,NA,NA,NA,-0.84066403,0.450261015,2021,2008,13,south,water,-0.7112,-0.669,0.7938,-0.7514,-0.1115,0.3944,60.9,15,Markus Bauer,84,84
X22_m_2017,22,11,Pfelling,PFE,PFE-2008,5415946,4555531,2305,479,-0.840702677,NA,NA,NA,NA,2017,2008,9,north,land,0.415,-0.0607,1.0979,-0.7514,-0.1115,0.3944,52.5,19,Jakob_Huber_Simon_Reith_Jakob_Strak,85,85
X22_m_2018,22,11,Pfelling,PFE,PFE-2008,5415946,4555531,2305,479,NA,0.450256474,NA,NA,NA,2018,2008,10,north,land,0.415,-0.0607,1.0979,-0.7514,-0.1115,0.3944,51,15,Jakob_Huber,86,86
X22_m_2019,22,11,Pfelling,PFE,PFE-2008,5415946,4555531,2305,479,NA,NA,-0.840702677,NA,NA,2019,2008,11,north,land,0.415,-0.0607,1.0979,-0.7514,-0.1115,0.3944,101.2,21,Jakob_Huber_Linda_Weggler,87,87
X22_m_2021,22,11,Pfelling,PFE,PFE-2008,5415946,4555531,2305,479,NA,NA,NA,-0.840702677,0.450256474,2021,2008,13,north,land,0.415,-0.0607,1.0979,-0.7514,-0.1115,0.3944,33.8,16,Markus Bauer,88,88
X23_m_2017,23,12,Pfelling,PFE,PFE-2008,5416175,4555683,2305,730,-0.839997583,NA,NA,NA,NA,2017,2008,9,south,water,0.6912,-0.0516,0.8196,-0.7514,-0.1115,0.3944,64.3,27,Jakob_Huber_Simon_Reith_Jakob_Strak,89,89
X23_m_2018,23,12,Pfelling,PFE,PFE-2008,5416175,4555683,2305,730,NA,0.44985521,NA,NA,NA,2018,2008,10,south,water,0.6912,-0.0516,0.8196,-0.7514,-0.1115,0.3944,46.7,36,Jakob_Huber,90,90
X23_m_2019,23,12,Pfelling,PFE,PFE-2008,5416175,4555683,2305,730,NA,NA,-0.839997583,NA,NA,2019,2008,11,south,water,0.6912,-0.0516,0.8196,-0.7514,-0.1115,0.3944,81.5,41,Jakob_Huber_Linda_Weggler,91,91
X23_m_2021,23,12,Pfelling,PFE,PFE-2008,5416175,4555683,2305,730,NA,NA,NA,-0.839997583,0.44985521,2021,2008,13,south,water,0.6912,-0.0516,0.8196,-0.7514,-0.1115,0.3944,68.7,30,Markus Bauer,92,92
X24_m_2017,24,12,Pfelling,PFE,PFE-2008,5416180,4555677,2305,728,-0.840032481,NA,NA,NA,NA,2017,2008,9,north,land,0.5672,0.0244,1.02,-0.7514,-0.1115,0.3944,58.8,30,Jakob_Huber_Simon_Reith_Jakob_Strak,93,93
X24_m_2018,24,12,Pfelling,PFE,PFE-2008,5416180,4555677,2305,728,NA,0.449845421,NA,NA,NA,2018,2008,10,north,land,0.5672,0.0244,1.02,-0.7514,-0.1115,0.3944,56.1,24,Jakob_Huber,94,94
X24_m_2019,24,12,Pfelling,PFE,PFE-2008,5416180,4555677,2305,728,NA,NA,-0.840032481,NA,NA,2019,2008,11,north,land,0.5672,0.0244,1.02,-0.7514,-0.1115,0.3944,86.5,31,Jakob_Huber_Linda_Weggler,95,95
X24_m_2021,24,12,Pfelling,PFE,PFE-2008,5416180,4555677,2305,728,NA,NA,NA,-0.840032481,0.449845421,2021,2008,13,north,land,0.5672,0.0244,1.02,-0.7514,-0.1115,0.3944,69.5,25,Markus Bauer,96,96
X27_m_2017,27,14,Irlbach,IRL,IRL-2011,5412036,4554294,2301,1932.1,-0.752592835,NA,NA,NA,NA,2017,2011,6,north,water,-0.5712,-0.5229,1.4707,-0.2795,-0.2306,-0.9709,43.8,30,Jakob_Huber_Simon_Reith,105,105
X27_m_2018,27,14,Irlbach,IRL,IRL-2011,5412036,4554294,2301,1932.1,NA,0.602444301,NA,NA,NA,2018,2011,7,north,water,-0.5712,-0.5229,1.4707,-0.2795,-0.2306,-0.9709,78.9,30,Jakob_Huber,106,106
X27_m_2019,27,14,Irlbach,IRL,IRL-2011,5412036,4554294,2301,1932.1,NA,NA,-0.752592835,NA,NA,2019,2011,8,north,water,-0.5712,-0.5229,1.4707,-0.2795,-0.2306,-0.9709,98.7,33,Jakob_Huber_Linda_Weggler,107,107
X27_m_2021,27,14,Irlbach,IRL,IRL-2011,5412036,4554294,2301,1932.1,NA,NA,NA,-0.752592835,0.602444301,2021,2011,10,north,water,-0.5712,-0.5229,1.4707,-0.2795,-0.2306,-0.9709,80.6,37,Markus Bauer,108,108
X28_m_2017,28,14,Irlbach,IRL,IRL-2011,5412027,4554292,2301,1934.8,-0.752564863,NA,NA,NA,NA,2017,2011,6,south,land,-0.574,-0.409,0.9978,-0.2795,-0.2306,-0.9709,53,17,Jakob_Huber_Simon_Reith,109,109
X28_m_2018,28,14,Irlbach,IRL,IRL-2011,5412027,4554292,2301,1934.8,NA,0.602423549,NA,NA,NA,2018,2011,7,south,land,-0.574,-0.409,0.9978,-0.2795,-0.2306,-0.9709,66.4,13,Jakob_Huber,110,110
X28_m_2019,28,14,Irlbach,IRL,IRL-2011,5412027,4554292,2301,1934.8,NA,NA,-0.752564863,NA,NA,2019,2011,8,south,land,-0.574,-0.409,0.9978,-0.2795,-0.2306,-0.9709,89.2,15,Jakob_Huber_Linda_Weggler,111,111
X28_m_2021,28,14,Irlbach,IRL,IRL-2011,5412027,4554292,2301,1934.8,NA,NA,NA,-0.752564863,0.602423549,2021,2011,10,south,land,-0.574,-0.409,0.9978,-0.2795,-0.2306,-0.9709,58.4,14,Markus Bauer,112,112
X34_o_2017,34,17,Irlbach,IRL,IRL-2003,5412659,4555704,2301,516.4,-0.578308431,NA,NA,NA,NA,2017,2003,14,south,land,0.0251,0.0608,-0.6397,-0.2763,-0.9022,1.9349,38.8,19,Jakob_Huber_Simon_Reith_Jakob_Strak,133,133
X34_o_2018,34,17,Irlbach,IRL,IRL-2003,5412659,4555704,2301,516.4,NA,0.839210506,NA,NA,NA,2018,2003,15,south,land,0.0251,0.0608,-0.6397,-0.2763,-0.9022,1.9349,85.9,32,Jakob_Huber_Linda_Weggler_Laura_Baeumler,134,134
X34_o_2019,34,17,Irlbach,IRL,IRL-2003,5412659,4555704,2301,516.4,NA,NA,-0.578308431,NA,NA,2019,2003,16,south,land,0.0251,0.0608,-0.6397,-0.2763,-0.9022,1.9349,90.7,35,Jakob_Huber_Linda_Weggler,135,135
X34_o_2021,34,17,Irlbach,IRL,IRL-2003,5412659,4555704,2301,516.4,NA,NA,NA,-0.578308431,0.839210506,2021,2003,18,south,land,0.0251,0.0608,-0.6397,-0.2763,-0.9022,1.9349,36.8,12,Markus Bauer,136,136
X39_m_2017,39,20,Natternberg,NAT,NAT-2013,5411096,4567747,2287,480.6,1.293260167,NA,NA,NA,NA,2017,2013,4,north,water,-1.7667,-0.2672,-0.469,-0.3107,0.8715,0.8865,106.6,31,Jakob_Huber_Jakob_Strak,153,153
X39_m_2018,39,20,Natternberg,NAT,NAT-2013,5411096,4567747,2287,480.6,NA,0.982934038,NA,NA,NA,2018,2013,5,north,water,-1.7667,-0.2672,-0.469,-0.3107,0.8715,0.8865,147.1,32,Jakob_Huber,154,154
X39_m_2019,39,20,Natternberg,NAT,NAT-2013,5411096,4567747,2287,480.6,NA,NA,1.293260167,NA,NA,2019,2013,6,north,water,-1.7667,-0.2672,-0.469,-0.3107,0.8715,0.8865,142.9,39,Jakob_Huber_Linda_Weggler,155,155
X39_m_2021,39,20,Natternberg,NAT,NAT-2013,5411096,4567747,2287,480.6,NA,NA,NA,1.293260167,0.982934038,2021,2013,8,north,water,-1.7667,-0.2672,-0.469,-0.3107,0.8715,0.8865,128.7,27,Markus Bauer,156,156
X40_m_2017,40,20,Natternberg,NAT,NAT-2013,5411081,4567737,2287,498.6,1.260414691,NA,NA,NA,NA,2017,2013,4,south,land,0.2595,0.8512,-0.9844,-0.3107,0.8715,0.8865,51,25,Jakob_Huber_Jakob_Strak,157,157
X40_m_2018,40,20,Natternberg,NAT,NAT-2013,5411081,4567737,2287,498.6,NA,1.140496118,NA,NA,NA,2018,2013,5,south,land,0.2595,0.8512,-0.9844,-0.3107,0.8715,0.8865,96.5,29,Jakob_Huber,158,158
X40_m_2019,40,20,Natternberg,NAT,NAT-2013,5411081,4567737,2287,498.6,NA,NA,1.260414691,NA,NA,2019,2013,6,south,land,0.2595,0.8512,-0.9844,-0.3107,0.8715,0.8865,100.2,32,Jakob_Huber_Linda_Weggler,159,159
X40_m_2021,40,20,Natternberg,NAT,NAT-2013,5411081,4567737,2287,498.6,NA,NA,NA,1.260414691,1.140496118,2021,2013,8,south,land,0.2595,0.8512,-0.9844,-0.3107,0.8715,0.8865,102,29,Markus Bauer,160,160
X41_m_2017,41,21,Natternberg,NAT,NAT-2013,5410515,4568793,2286,440.8,1.295602365,NA,NA,NA,NA,2017,2013,4,north,water,-0.7066,-0.0099,-0.9289,-0.3107,0.8715,0.8865,144.1,26,Jakob_Huber_Simon_Reith_Jakob_Strak,161,161
X41_m_2018,41,21,Natternberg,NAT,NAT-2013,5410515,4568793,2286,440.8,NA,0.982117211,NA,NA,NA,2018,2013,5,north,water,-0.7066,-0.0099,-0.9289,-0.3107,0.8715,0.8865,97.1,27,Jakob_Huber,162,162
X41_m_2019,41,21,Natternberg,NAT,NAT-2013,5410515,4568793,2286,440.8,NA,NA,1.295602365,NA,NA,2019,2013,6,north,water,-0.7066,-0.0099,-0.9289,-0.3107,0.8715,0.8865,146.5,38,Jakob_Huber_Linda_Weggler,163,163
X41_m_2021,41,21,Natternberg,NAT,NAT-2013,5410515,4568793,2286,440.8,NA,NA,NA,1.295602365,0.982117211,2021,2013,8,north,water,-0.7066,-0.0099,-0.9289,-0.3107,0.8715,0.8865,137.4,20,Markus Bauer,164,164
X42_m_2017,42,21,Natternberg,NAT,NAT-2013,5410497,4568788,2286,458.5,1.295628202,NA,NA,NA,NA,2017,2013,4,south,land,-1.147,0.0464,-0.339,-0.3107,0.8715,0.8865,61.4,33,Jakob_Huber_Simon_Reith_Jakob_Strak,165,165
X42_m_2018,42,21,Natternberg,NAT,NAT-2013,5410497,4568788,2286,458.5,NA,0.982096082,NA,NA,NA,2018,2013,5,south,land,-1.147,0.0464,-0.339,-0.3107,0.8715,0.8865,61.4,24,Jakob_Huber,166,166
X42_m_2019,42,21,Natternberg,NAT,NAT-2013,5410497,4568788,2286,458.5,NA,NA,1.295628202,NA,NA,2019,2013,6,south,land,-1.147,0.0464,-0.339,-0.3107,0.8715,0.8865,111.2,28,Jakob_Huber_Linda_Weggler,167,167
X42_m_2021,42,21,Natternberg,NAT,NAT-2013,5410497,4568788,2286,458.5,NA,NA,NA,1.295628202,0.982096082,2021,2013,8,south,land,-1.147,0.0464,-0.339,-0.3107,0.8715,0.8865,70.4,22,Markus Bauer,168,168
X43_m_2017,43,22,Deggendorf_West,DEG,DEG-2007,5411573,4568255,2287,186.8,1.292851546,NA,NA,NA,NA,2017,2007,10,south,water,-0.8404,0.1698,0.0852,0.0508,-0.8398,0.8966,100.5,19,Jakob_Huber_Jakob_Strak,169,169
X43_m_2018,43,22,Deggendorf_West,DEG,DEG-2007,5411573,4568255,2287,186.8,NA,0.983177413,NA,NA,NA,2018,2007,11,south,water,-0.8404,0.1698,0.0852,0.0508,-0.8398,0.8966,87.2,18,Jakob_Huber,170,170
X43_m_2019,43,22,Deggendorf_West,DEG,DEG-2007,5411573,4568255,2287,186.8,NA,NA,1.292851546,NA,NA,2019,2007,12,south,water,-0.8404,0.1698,0.0852,0.0508,-0.8398,0.8966,66.9,21,Jakob_Huber_Linda_Weggler,171,171
X43_m_2021,43,22,Deggendorf_West,DEG,DEG-2007,5411573,4568255,2287,186.8,NA,NA,NA,1.292851546,0.983177413,2021,2007,14,south,water,-0.8404,0.1698,0.0852,0.0508,-0.8398,0.8966,73.1,13,Markus Bauer,172,172
X44_m_2017,44,22,Deggendorf_West,DEG,DEG-2007,5411582,4568262,2287,198.1,1.292836622,NA,NA,NA,NA,2017,2007,10,north,land,0.4377,0.7878,0.1938,0.0508,-0.8398,0.8966,55.2,29,Jakob_Huber_Jakob_Strak,173,173
X44_m_2018,44,22,Deggendorf_West,DEG,DEG-2007,5411582,4568262,2287,198.1,NA,0.983176624,NA,NA,NA,2018,2007,11,north,land,0.4377,0.7878,0.1938,0.0508,-0.8398,0.8966,127.5,22,Jakob_Huber,174,174
X44_m_2019,44,22,Deggendorf_West,DEG,DEG-2007,5411582,4568262,2287,198.1,NA,NA,1.292836622,NA,NA,2019,2007,12,north,land,0.4377,0.7878,0.1938,0.0508,-0.8398,0.8966,72.5,20,Jakob_Huber_Linda_Weggler,175,175
X44_m_2021,44,22,Deggendorf_West,DEG,DEG-2007,5411582,4568262,2287,198.1,NA,NA,NA,1.292836622,0.983176624,2021,2007,14,north,land,0.4377,0.7878,0.1938,0.0508,-0.8398,0.8966,55.5,25,Markus Bauer,176,176
X45_m_2017,45,23,Deggendorf_West,DEG,DEG-2007,5411360,4568677,2286,213.7,1.293807323,NA,NA,NA,NA,2017,2007,10,south,water,-0.3195,0.1839,-0.0236,0.0508,-0.8398,0.8966,71.9,25,Jakob_Huber_Jakob_Strak,177,177
